service_id,date,exception_type
26AP27-CPBlock-Weekday-11,20260501,1
26AP27-CPBlock-Weekday-11,20260504,1
26AP27-CPBlock-Weekday-11,20260505,1
26AP27-CPBlock-Weekday-11,20260506,1
26AP27-CPBlock-Weekday-11,20260507,1
26AP27-CPBlock-Weekday-11,20260508,1
26AP27-CPBlock-Weekday-11,20260511,1
26AP27-CPBlock-Weekday-11,20260512,1
26AP27-CPBlock-Weekday-11,20260513,1
26AP27-CPBlock-Weekday-11,20260514,1
26AP27-CPBlock-Weekday-11,20260515,1
26AP27-CPBlock-Weekday-11,20260519,1
26AP27-CPBlock-Weekday-11,20260520,1
26AP27-CPBlock-Weekday-11,20260521,1
26AP27-CPBlock-Weekday-11,20260522,1
26AP27-CPBlock-Weekday-11,20260525,1
26AP27-CPBlock-Weekday-11,20260526,1
26AP27-CPBlock-Weekday-11,20260527,1
26AP27-CPBlock-Weekday-11,20260528,1
26AP27-CPBlock-Weekday-11,20260529,1
26AP27-CPBlock-Weekday-11,20260601,1
26AP27-CPBlock-Weekday-11,20260602,1
26AP27-CPBlock-Weekday-11,20260603,1
26AP27-CPBlock-Weekday-11,20260604,1
26AP27-CPBlock-Weekday-11,20260605,1
26AP27-CPBlock-Weekday-11,20260608,1
26AP27-CPBlock-Weekday-11,20260609,1
26AP27-CPBlock-Weekday-11,20260610,1
26AP27-CPBlock-Weekday-11,20260611,1
26AP27-CPBlock-Weekday-11,20260612,1
26AP27-CPBlock-Weekday-11,20260615,1
26AP27-CPBlock-Weekday-11,20260616,1
26AP27-CPBlock-Weekday-11,20260617,1
26AP27-CPBlock-Weekday-11,20260618,1
26AP27-CPBlock-Weekday-11,20260619,1
26AP27-CPBlock-Weekday-11,20260622,1
26AP27-CPBlock-Weekday-11,20260623,1
26AP27-CPBlock-Weekday-11,20260624,1
26AP27-CPBlock-Weekday-11,20260625,1
26AP27-CPBlock-Weekday-11,20260626,1
26AP27-CPBlock-Saturday-12,20260502,1
26AP27-CPBlock-Saturday-12,20260509,1
26AP27-CPBlock-Saturday-12,20260516,1
26AP27-CPBlock-Saturday-12,20260523,1
26AP27-CPBlock-Saturday-12,20260530,1
26AP27-CPBlock-Saturday-12,20260606,1
26AP27-CPBlock-Saturday-12,20260613,1
26AP27-CPBlock-Saturday-12,20260620,1
26AP27-CPBlock-Saturday-12,20260627,1
26AP27-CPBlock-Sunday-13,20260503,1
26AP27-CPBlock-Sunday-13,20260510,1
26AP27-CPBlock-Sunday-13,20260517,1
26AP27-CPBlock-Sunday-13,20260524,1
26AP27-CPBlock-Sunday-13,20260531,1
26AP27-CPBlock-Sunday-13,20260607,1
26AP27-CPBlock-Sunday-13,20260614,1
26AP27-CPBlock-Sunday-13,20260621,1
26AP27-CPBlock-Sunday-13,20260628,1
26AP27-CPBlock-Holiday1-14,20260518,1
26AP27-CRABlock-Saturday-52,20260523,1
26AP27-CRABlock-Sunday-53,20260524,1
26AP27-MABlock-Weekday-21,20260501,1
26AP27-MABlock-Weekday-21,20260504,1
26AP27-MABlock-Weekday-21,20260505,1
26AP27-MABlock-Weekday-21,20260506,1
26AP27-MABlock-Weekday-21,20260507,1
26AP27-MABlock-Weekday-21,20260508,1
26AP27-MABlock-Weekday-21,20260511,1
26AP27-MABlock-Weekday-21,20260512,1
26AP27-MABlock-Weekday-21,20260513,1
26AP27-MABlock-Weekday-21,20260514,1
26AP27-MABlock-Weekday-21,20260515,1
26AP27-MABlock-Weekday-21,20260519,1
26AP27-MABlock-Weekday-21,20260520,1
26AP27-MABlock-Weekday-21,20260521,1
26AP27-MABlock-Weekday-21,20260522,1
26AP27-MABlock-Weekday-21,20260525,1
26AP27-MABlock-Weekday-21,20260526,1
26AP27-MABlock-Weekday-21,20260527,1
26AP27-MABlock-Weekday-21,20260528,1
26AP27-MABlock-Weekday-21,20260529,1
26AP27-MABlock-Weekday-21,20260601,1
26AP27-MABlock-Weekday-21,20260602,1
26AP27-MABlock-Weekday-21,20260603,1
26AP27-MABlock-Weekday-21,20260604,1
26AP27-MABlock-Weekday-21,20260605,1
26AP27-MABlock-Weekday-21,20260608,1
26AP27-MABlock-Weekday-21,20260609,1
26AP27-MABlock-Weekday-21,20260610,1
26AP27-MABlock-Weekday-21,20260611,1
26AP27-MABlock-Weekday-21,20260612,1
26AP27-MABlock-Weekday-21,20260615,1
26AP27-MABlock-Weekday-21,20260616,1
26AP27-MABlock-Weekday-21,20260617,1
26AP27-MABlock-Weekday-21,20260618,1
