shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10392,43.518040,-79.690589,10001,0.000
10392,43.518081,-79.690589,10002,0.004
10392,43.518128,-79.690591,10003,0.010
10392,43.518490,-79.690578,10004,0.050
10392,43.519800,-79.690610,10005,0.196
10392,43.519800,-79.690610,20001,0.196
10392,43.519868,-79.690613,20002,0.203
10392,43.520217,-79.690613,20003,0.242
10392,43.520263,-79.690604,20004,0.247
10392,43.520302,-79.690592,20005,0.251
10392,43.520348,-79.690580,20006,0.257
10392,43.520388,-79.690569,20007,0.261
10392,43.520436,-79.690548,20008,0.267
10392,43.520482,-79.690533,20009,0.272
10392,43.520521,-79.690517,20010,0.277
10392,43.520572,-79.690492,20011,0.282
10392,43.520615,-79.690469,20012,0.288
10392,43.520658,-79.690443,20013,0.293
10392,43.520740,-79.690391,20014,0.303
10392,43.520817,-79.690327,20015,0.313
10392,43.520899,-79.690254,20016,0.324
10392,43.520960,-79.690194,20017,0.332
10392,43.521012,-79.690142,20018,0.339
10392,43.521045,-79.690106,20019,0.344
10392,43.521585,-79.689515,20020,0.420
10392,43.521585,-79.689515,30001,0.420
10392,43.521825,-79.689254,30002,0.454
10392,43.522196,-79.688867,30003,0.506
10392,43.523609,-79.687337,30004,0.706
10392,43.523718,-79.687217,30005,0.721
10392,43.523718,-79.687217,40001,0.721
10392,43.523929,-79.686985,40002,0.751
10392,43.524212,-79.686678,40003,0.791
10392,43.524473,-79.686396,40004,0.828
10392,43.525269,-79.685553,40005,0.940
10392,43.525269,-79.685553,50001,0.940
10392,43.525487,-79.685322,50002,0.971
10392,43.525359,-79.685144,50003,0.991
10392,43.524649,-79.684160,50004,1.103
10392,43.524534,-79.684003,50005,1.121
10392,43.524534,-79.684003,60001,1.121
10392,43.522795,-79.681638,60002,1.393
10392,43.523319,-79.681072,60003,1.466
10392,43.523319,-79.681072,70001,1.466
10392,43.525590,-79.678620,70002,1.787
10392,43.527070,-79.676989,70003,1.998
10392,43.527735,-79.676272,70004,2.092
10392,43.527735,-79.676272,80001,2.092
10392,43.528252,-79.675715,80002,2.165
10392,43.530603,-79.673117,80003,2.500
10392,43.530603,-79.673117,90001,2.500
10392,43.530785,-79.672915,90002,2.526
10392,43.531014,-79.672671,90003,2.558
10392,43.533034,-79.670432,90004,2.846
10392,43.533122,-79.670339,90005,2.859
10392,43.533122,-79.670339,100001,2.859
10392,43.533249,-79.670201,100002,2.877
