route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
71,26AP27-CPBlock-Weekday-11,29679683,71 W Sheridan To Plymouth Loop,,1,2807265,710058,1,1
71,26AP27-CPBlock-Weekday-11,29679684,71 W Sheridan To Plymouth Loop,,1,2807187,710058,1,1
71,26AP27-CPBlock-Weekday-11,29679685,71 E Sheridan To Kipling Terminal,,0,2807147,710054,1,1
71,26AP27-CPBlock-Weekday-11,29679686,71 E Sheridan To Kipling Terminal,,0,2807288,710054,1,1
7,26AP27-CPBlock-Weekday-11,29679687,7 N Airport To Westwood,,0,2807173,70186,1,1
7,26AP27-CPBlock-Weekday-11,29679688,7 N Airport To Westwood,,0,2807040,70186,1,1
7,26AP27-CPBlock-Weekday-11,29679689,7 N Airport To Westwood,,0,2806965,70186,1,1
7,26AP27-CPBlock-Weekday-11,29679690,7 N Airport To Westwood,,0,2807173,70186,1,1
7,26AP27-CPBlock-Weekday-11,29679691,7 S Airport To City Centre,,1,2807173,70185,1,1
7,26AP27-CPBlock-Weekday-11,29679692,7 S Airport To City Centre,,1,2807040,70185,1,1
7,26AP27-CPBlock-Weekday-11,29679693,7 S Airport To City Centre,,1,2807040,70185,1,1
7,26AP27-CPBlock-Weekday-11,29679694,7 S Airport To City Centre,,1,2806965,70185,1,1
4,26AP27-CPBlock-Weekday-11,29679695,4 E North Service Road To Sherway Gardens,,0,2807022,40198,1,1
4,26AP27-CPBlock-Weekday-11,29679696,4 E North Service Road To Sherway Gardens,,0,2807023,40198,1,1
4,26AP27-CPBlock-Weekday-11,29679697,4 E North Service Road To Sherway Gardens,,0,2807024,40198,1,1
4,26AP27-CPBlock-Weekday-11,29679698,4 E North Service Road To Sherway Gardens,,0,2807022,40198,1,1
4,26AP27-CPBlock-Weekday-11,29679699,4 E North Service Road To Sherway Gardens,,0,2807071,40198,1,1
4,26AP27-CPBlock-Weekday-11,29679700,4 E North Service Road To Sherway Gardens,,0,2807032,40198,1,1
