advocacy_priority_rank,route_short_name,route_long_name,advocacy_priority_score,final_efficiency_score,scheduled_trips,avg_scheduled_speed_kmh,median_headway_min,avg_directness_ratio,stops_per_km,full_service_span_hours
1,28,Confederation,68.44,37.96,129,17.67,19.0,0.552,7.741,19.67
2,6,Credit Woodlands,65.01,29.03,93,18.39,28.0,0.373,7.605,21.77
3,10,Bristol,64.36,36.16,102,19.78,25.0,0.443,6.952,21.28
4,2,Hurontario,64.02,59.96,232,16.33,12.0,0.772,6.619,24.47
5,8,Cawthra,62.99,26.33,71,18.6,35.0,0.479,6.693,19.28
6,3,Bloor,60.81,62.28,180,19.36,15.0,0.719,7.276,24.85
7,4,North Service Road,60.37,24.64,55,19.86,44.0,0.34,5.896,19.85
8,31,Ogden,57.42,45.71,100,20.23,30.0,0.419,5.651,22.2
9,30,Rexdale,57.28,23.73,48,19.14,55.0,0.492,6.055,20.47
10,61,Mavis,56.94,69.75,189,21.32,14.0,0.698,4.521,23.17
11,26,Burnhamthorpe,56.78,62.94,156,20.64,15.0,0.714,5.597,23.73
12,66,McLaughlin,56.69,71.17,202,20.97,12.0,0.902,5.313,21.18
13,5,Dixie,56.37,60.59,141,17.81,15.0,0.847,5.327,22.5
13,46,Tenth Line,56.37,32.31,62,19.73,44.0,0.524,6.125,21.6
15,16,Malton,56.32,27.34,50,19.34,40.0,0.003,6.877,19.57
15,38,Creditview,56.32,38.46,77,20.58,30.0,0.423,5.793,21.03
17,17,Hurontario,56.19,61.91,146,19.35,20.0,0.889,4.837,24.27
18,29,Park Royal,54.98,38.67,68,22.17,38.0,0.36,6.527,21.62
18,321,Stephen Lewis SS,54.98,17.46,5,14.96,33.0,0.455,5.233,7.85
20,90,Terragar-Copenhagen Loop,54.25,36.86,63,21.75,30.0,0.003,8.611,19.27
