shape_id_text,shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
10392,10392,10001,-79.690589,43.51804
10392,10392,10002,-79.690589,43.518081
10392,10392,10003,-79.690591,43.518128
10392,10392,10004,-79.690578,43.51849
10392,10392,10005,-79.69061,43.5198
10392,10392,20001,-79.69061,43.5198
10392,10392,20002,-79.690613,43.519868
10392,10392,20003,-79.690613,43.520217
10392,10392,20004,-79.690604,43.520263
10392,10392,20005,-79.690592,43.520302
10392,10392,20006,-79.69058,43.520348
10392,10392,20007,-79.690569,43.520388
10392,10392,20008,-79.690548,43.520436
10392,10392,20009,-79.690533,43.520482
10392,10392,20010,-79.690517,43.520521
10392,10392,20011,-79.690492,43.520572
10392,10392,20012,-79.690469,43.520615
10392,10392,20013,-79.690443,43.520658
10392,10392,20014,-79.690391,43.52074
10392,10392,20015,-79.690327,43.520817
10392,10392,20016,-79.690254,43.520899
10392,10392,20017,-79.690194,43.52096
10392,10392,20018,-79.690142,43.521012
10392,10392,20019,-79.690106,43.521045
10392,10392,20020,-79.689515,43.521585
10392,10392,30001,-79.689515,43.521585
10392,10392,30002,-79.689254,43.521825
10392,10392,30003,-79.688867,43.522196
10392,10392,30004,-79.687337,43.523609
10392,10392,30005,-79.687217,43.523718
10392,10392,40001,-79.687217,43.523718
10392,10392,40002,-79.686985,43.523929
10392,10392,40003,-79.686678,43.524212
10392,10392,40004,-79.686396,43.524473
10392,10392,40005,-79.685553,43.525269
10392,10392,50001,-79.685553,43.525269
10392,10392,50002,-79.685322,43.525487
10392,10392,50003,-79.685144,43.525359
10392,10392,50004,-79.68416,43.524649
10392,10392,50005,-79.684003,43.524534
10392,10392,60001,-79.684003,43.524534
10392,10392,60002,-79.681638,43.522795
10392,10392,60003,-79.681072,43.523319
10392,10392,70001,-79.681072,43.523319
10392,10392,70002,-79.67862,43.52559
10392,10392,70003,-79.676989,43.52707
10392,10392,70004,-79.676272,43.527735
10392,10392,80001,-79.676272,43.527735
10392,10392,80002,-79.675715,43.528252
10392,10392,80003,-79.673117,43.530603
10392,10392,90001,-79.673117,43.530603
10392,10392,90002,-79.672915,43.530785
10392,10392,90003,-79.672671,43.531014
10392,10392,90004,-79.670432,43.533034
10392,10392,90005,-79.670339,43.533122
10392,10392,100001,-79.670339,43.533122
10392,10392,100002,-79.670201,43.533249
10392,10392,100003,-79.667847,43.535433
10392,10392,110001,-79.667847,43.535433
10392,10392,110002,-79.667675,43.535592
10392,10392,110003,-79.667535,43.535722
10392,10392,110004,-79.666219,43.536854
10392,10392,110005,-79.665364,43.537588
10392,10392,120001,-79.665364,43.537588
10392,10392,120002,-79.664833,43.538045
10392,10392,120003,-79.664493,43.538338
10392,10392,120004,-79.664065,43.538718
10392,10392,120005,-79.663528,43.539195
10392,10392,120006,-79.662769,43.539869
10392,10392,130001,-79.662769,43.539869
10392,10392,130002,-79.662432,43.540169
10392,10392,130003,-79.661598,43.540907
10392,10392,130004,-79.661541,43.540963
10392,10392,130005,-79.661461,43.541035
10392,10392,130006,-79.661344,43.541142
10392,10392,130007,-79.66127,43.541208
10392,10392,130008,-79.661194,43.541279
10392,10392,130009,-79.661086,43.541369
10392,10392,130010,-79.660992,43.541448
10392,10392,130011,-79.660896,43.541527
10392,10392,130012,-79.660793,43.54161
10392,10392,130013,-79.660699,43.541684
10392,10392,130014,-79.660597,43.541765
10392,10392,130015,-79.660487,43.541849
10392,10392,130016,-79.660405,43.54191
10392,10392,130017,-79.660301,43.541982
10392,10392,130018,-79.660197,43.542054
10392,10392,130019,-79.66009,43.542125
10392,10392,130020,-79.659982,43.542194
10392,10392,130021,-79.659873,43.542262
10392,10392,130022,-79.659762,43.542329
10392,10392,130023,-79.659651,43.542395
10392,10392,130024,-79.659538,43.542461
