stop_id,stop_code,stop_name,stop_lat,stop_lon
0001,1.0,Erin Mills Pky North Of Lincoln Green Way,43.535249,-79.663644
0002,2.0,Erin Mills Pky At Paula Crt Walkway,43.534534,-79.663118
0004,4.0,Eglinton Ave West Of East Mill Rd,43.579365,-79.683931
0009,9.0,The Collegeway East Of Glen Erin Dr,43.537222,-79.684341
0010,10.0,Explorer Dr At 5875 Explorer Dr,43.654616,-79.616731
0011,11.0,Mclaughlin Rd At South Ceremonial Dr,43.599851,-79.666981
0012,12.0,Creekbank Rd North Of Tech Ave,43.643532,-79.615677
0014,14.0,Matheson Blvd At Solar Dr,43.652747,-79.609733
0020,20.0,Matheson Blvd At Shuttle Dr,43.660658,-79.600934
0021,21.0,Matheson Blvd West Of Orbitor Dr,43.657669,-79.604165
0022,22.0,Tours Rd At Millers Grove,43.571865,-79.754781
0023,23.0,Tours Rd East Of Winston Churchill Blvd,43.574212,-79.751081
0024,24.0,Tours Rd At Windwood Dr,43.575569,-79.74901
0025,25.0,Mclaughlin Rd South Of Britannia Rd,43.616293,-79.689595
0026,26.0,Matheson Blvd At Whittle Rd,43.62112,-79.667701
0027,27.0,Matheson Blvd East Of Whittle Rd,43.622389,-79.663918
0028,28.0,Matheson Blvd At 267 Matheson Blvd,43.622733,-79.66184
0029,29.0,Matheson Blvd At Mcadam Rd,43.624168,-79.658239
0030,30.0,Matheson Blvd At Kennedy Rd,43.625811,-79.655513
0031,31.0,Matheson Blvd At Timberlea Blvd,43.631449,-79.644987
0032,32.0,Matheson Blvd At Ambler Dr,43.639994,-79.632917
0033,33.0,Matheson Blvd At Dixie Rd,43.642188,-79.630413
0034,34.0,Matheson Blvd At Matheson Blvd,43.643498,-79.628548
0035,35.0,Spectrum Station East Platform A,43.649807,-79.605578
0036,36.0,Spectrum Station West Platform B,43.649555,-79.606183
0037,37.0,Matheson Blvd At Spectrum Way,43.652174,-79.611796
0038,38.0,Matheson Blvd At Creekbank Rd,43.649013,-79.620576
0039,39.0,Matheson Blvd At West Explorer Dr,43.651994,-79.615557
0040,40.0,Matheson Blvd At Spectrum Way,43.651973,-79.612358
0041,41.0,Matheson Blvd At Solar Dr,43.652685,-79.609409
0042,42.0,Matheson Blvd At Satellite Dr,43.654645,-79.607671
0043,43.0,Matheson Blvd At Shuttle Dr,43.660344,-79.600903
0044,44.0,Matheson Blvd At East Explorer Dr,43.66253,-79.598496
0045,45.0,Matheson Blvd At Bradco Blvd,43.638257,-79.635178
0046,46.0,Matheson Blvd At Maingate Dr,43.636372,-79.637214
0047,47.0,Creekbank Rd At Matheson Blvd,43.648054,-79.620376
0048,48.0,Matheson Blvd At Falbourne St,43.615314,-79.680446
0049,49.0,Lisgar Dr At Derry Rd,43.576887,-79.783746
0050,50.0,Matheson Blvd At Tomken Rd,43.633638,-79.641318
0051,51.0,Matheson Blvd At Kennedy Rd,43.626301,-79.655306
0052,52.0,Matheson Blvd At Mcadam Rd,43.62472,-79.657681
0053,53.0,Matheson Blvd At Mclaughlin Rd,43.613012,-79.684585
0054,54.0,Britannia Rd At Ellesboro Dr,43.590026,-79.720153
0057,57.0,Erin Centre Blvd West Of Erin Mills Pky,43.561061,-79.712595
0058,58.0,Erin Centre Blvd West Of Erin Mills Pky,43.560682,-79.713187
0059,59.0,Mississauga Valley Blvd North Of Central Pky,43.591651,-79.626864
0062,62.0,Financial Dr At Derry Rd,43.611995,-79.749617
0063,63.0,Falbourne St At 5875 Falbourne St,43.617673,-79.681237
0064,64.0,Falbourne St At Britannia Rd,43.620104,-79.685063
0066,66.0,Elm Dr East Of Hurontario St,43.59121,-79.63064
0067,67.0,Britannia Rd At Ellesboro Dr,43.590385,-79.720169
0068,68.0,Elm Dr At Obelisk Way,43.591816,-79.629375
0069,69.0,Elm Dr At Hurontario St,43.591134,-79.6311
0070,70.0,Elm Dr At Kariya Dr,43.589207,-79.633337
0071,71.0,Confederation Pky At Paisley Blvd,43.573831,-79.61408
0072,72.0,Tours Rd At Windwood Dr,43.575693,-79.749019
0073,73.0,Tours Rd At Winston Churchill Blvd,43.574233,-79.75134
0074,74.0,Kariya Dr At North Enfield Pl,43.59046,-79.636538
0075,75.0,Kariya Dr At South Enfield Pl,43.58972,-79.635515
0076,76.0,Elm Dr East Of Kariya Dr,43.589793,-79.632353
0078,78.0,Elm Dr At Mississauga Valley Blvd,43.592219,-79.628437
0079,79.0,Matheson Blvd At West Explorer Dr,43.652246,-79.614795
0080,80.0,Matheson Blvd At Timberlea Blvd,43.631824,-79.644767
0081,81.0,Lisgar Dr At Beacham St,43.571236,-79.778176
0082,82.0,Lisgar Dr At Dillingwood Dr,43.576122,-79.782907
0083,83.0,Lisgar Dr At Yarrow Ave,43.573771,-79.780317
0085,85.0,City Centre Transit Terminal Platform L,43.593731,-79.647476
0087,87.0,Mavis Rd At Courtneypark Dr,43.623801,-79.711618
0088,88.0,Lisgar Dr At Berryman Trail,43.57023,-79.777565
0091,91.0,Derry Rd At Forest Park Dr,43.581178,-79.779077
0092,92.0,Derry Rd East Of Tenth Line,43.584007,-79.775987
0093,93.0,Winston Churchill Blvd At Vanderbilt Rd,43.584867,-79.766725
0094,94.0,Tours Rd At Millers Grove,43.571827,-79.755
0095,95.0,Hurontario St At Annagem Blvd,43.63565,-79.691803
0096,96.0,Hurontario St At Courtneypark Dr,43.637836,-79.694768
0097,97.0,Hurontario St At Courtneypark Dr,43.637239,-79.69457
0098,98.0,Hurontario St South Of Prologis Blvd,43.634871,-79.691398
0099,99.0,Meadowvale Blvd At Tottington Dr,43.615147,-79.748821
0100,100.0,Clarkson Go Station Platform 9,43.512562,-79.633058
0101,101.0,Clarkson Go Station Platform 4,43.512818,-79.632805
0103,103.0,Southdown Rd At South Sheridan Way,43.521719,-79.644571
0104,104.0,Southdown Rd At Truscott Dr,43.518647,-79.640408
0105,105.0,Southdown Rd At Wiseman Crt,43.516098,-79.636848
0106,106.0,Southdown Rd At Bromsgrove Rd,43.51441,-79.634607
0108,108.0,Bromsgrove Rd At 2150 Bromsgrove Rd,43.512203,-79.637785
0109,109.0,Bromsgrove Rd East Of Seagull Dr,43.509354,-79.639668
0110,110.0,Bromsgrove Rd East Of Treadmore Dr,43.507697,-79.643466
0111,111.0,Bromsgrove Rd At Tredmore Dr,43.506006,-79.645174
0112,112.0,Bromsgrove Rd At Playford Rd,43.504546,-79.646592
0113,113.0,Bromsgrove Rd At Cramer St,43.501793,-79.649783
0114,114.0,Winston Churchill Blvd South Of Kingsway Dr,43.503921,-79.656118
0115,115.0,Bromsgrove Rd At Seagull Dr,43.508683,-79.642318
0116,116.0,Truscott Dr At Buckby Rd,43.508275,-79.653535
0117,117.0,Truscott Dr At Sandgate Cres,43.509486,-79.650106
0118,118.0,Truscott Dr West Of Seagull Dr,43.511556,-79.648476
0119,119.0,Truscott Dr At Bodmin Rd,43.513141,-79.646251
0120,120.0,Truscott Dr At Lewisham Dr,43.515299,-79.643872
0121,121.0,Truscott Dr At Thetford Crt,43.518529,-79.641949
0122,122.0,Truscott Dr At Thetford Crt,43.518571,-79.641676
0123,123.0,Truscott Dr At Lewisham Dr,43.51502,-79.643892
0124,124.0,Truscott Dr At Bodmin Rd,43.513526,-79.645536
0125,125.0,Truscott Dr East Of Buckby Rd,43.509034,-79.650661
0126,126.0,Truscott Dr East Of Kelly Rd,43.511151,-79.64851
0127,127.0,Truscott Dr At Buckby Rd,43.508104,-79.653502
0128,128.0,Truscott Dr East Of Winston Churchill Blvd,43.505701,-79.65744
0129,129.0,Winston Churchill Blvd At Stockholm Rd,43.502944,-79.654303
0130,130.0,Bromsgrove Rd At Cramer St,43.502045,-79.649777
0131,131.0,Bromsgrove Rd At Playford Rd,43.504771,-79.646506
0132,132.0,Bromsgrove Rd East Of Tredmore Dr,43.506623,-79.644801
0133,133.0,Bromsgrove Rd At Seagull Dr,43.508888,-79.642177
0135,135.0,Bromsgrove Rd At 2170 Bromsgrove Rd,43.512492,-79.637803
0136,136.0,Bromsgrove Rd West Of Southdown Rd,43.514407,-79.63609
0137,137.0,Truscott Dr At Winston Churchill Blvd,43.50581,-79.657573
0138,138.0,Truscott Dr At Lockhart Rd,43.507508,-79.655705
0139,139.0,Clarkson Go Station Platform 7,43.512961,-79.633382
0141,141.0,Bromsgrove Rd At 2252 Bromsgrove Rd,43.509649,-79.639537
0142,142.0,Bromsgrove Rd At Winston Churchill Blvd,43.500844,-79.651053
0143,143.0,Winston Churchill Blvd At Stockholm Rd,43.503096,-79.654949
0144,144.0,Winston Churchill Blvd At Truscott Dr,43.50537,-79.657632
0146,146.0,Glen Erin Dr At Rogers Rd,43.543509,-79.691779
0147,147.0,Glen Erin Dr At Rolling Valley Dr,43.545891,-79.695534
0148,148.0,Glen Erin Dr At Folkway Dr,43.54727,-79.699237
0149,149.0,Dundas St At Clayhill Rd,43.570863,-79.627636
0150,150.0,Winston Churchill Blvd North Of Stockholm Rd,43.504144,-79.656002
0153,153.0,Glen Erin Dr North Of Erin Centre Blvd,43.558326,-79.718264
0154,154.0,Glen Erin Dr At Middlebury Dr,43.560325,-79.720711
0155,155.0,Glen Erin Dr At Burnford Trail,43.562574,-79.722892
0156,156.0,Glen Erin Dr North Of Burnford Trail,43.564171,-79.725644
0157,157.0,Glen Erin Dr North Of Thomas St,43.566372,-79.729288
0160,160.0,Glen Erin Dr At Folkway Dr,43.547222,-79.699795
0161,161.0,Glen Erin Dr South Of Rolling Valley Dr,43.545011,-79.694569
0162,162.0,Glen Erin Dr At Romark Mews Walkway,43.544368,-79.693467
0177,177.0,Kennedy Rd At Matheson Blvd,43.625958,-79.655026
0178,178.0,Kennedy Rd At Coopers Ave,43.631036,-79.661929
0179,179.0,Kennedy Rd At Coopers Ave,43.634128,-79.666075
0180,180.0,Kennedy Rd At Abilene Dr,43.63795,-79.671136
0181,181.0,Kennedy Rd At Otto Rd,43.643063,-79.677941
0182,182.0,Kennedy Rd At Courtneypark Dr,43.647654,-79.684127
0190,190.0,Hurontario St At Barondale Dr,43.61691,-79.666654
0191,191.0,Hurontario St At Barondale Dr,43.616925,-79.667137
0193,193.0,Kennedy Rd At Courtneypark Dr,43.647833,-79.684805
0194,194.0,Kennedy Rd At Pendant Dr,43.643159,-79.678522
0196,196.0,Kennedy Rd At Britannia Rd,43.634261,-79.66668
0197,197.0,Kennedy Rd At Matheson Blvd,43.626174,-79.655765
0198,198.0,South Millway At Council Ring Rd,43.539403,-79.675934
0199,199.0,South Millway At Council Ring Rd,43.539461,-79.676321
0208,208.0,Lakeshore Rd At Inverhouse Dr,43.513267,-79.627332
0209,209.0,Lakeshore Rd West Of Clarkson Rd,43.515338,-79.62512
0210,210.0,Lakeshore Rd At Clarkson Rd,43.517072,-79.623249
0211,211.0,Lakeshore Rd At Meadow Wood Rd,43.518973,-79.621152
0212,212.0,Southdown Rd South Of Bonnymede Dr,43.506741,-79.624511
0214,214.0,Lakeshore Rd At Silver Birch Trail,43.52403,-79.615604
0216,216.0,Lakeshore Rd At Tennyson Ave,43.531725,-79.607236
0218,218.0,Lakeshore Rd At Maple Ave,43.542869,-79.595146
0219,219.0,Lakeshore Rd At Shawnmarr Rd,43.54023,-79.598029
0221,221.0,Lakeshore Rd At Benson Ave,43.544513,-79.593424
0222,222.0,Lakeshore Rd East Of Benson Ave,43.545863,-79.59187
0223,223.0,Lakeshore Rd At Mississauga Rd,43.547719,-79.589772
0224,224.0,Lakeshore Rd At Front St,43.549976,-79.587342
0225,225.0,Lakeshore Rd At Festavon Crt,43.526589,-79.612811
0226,226.0,Park St At Mississauga Rd,43.54951,-79.591909
0227,227.0,Mississauga Rd West Of Kane Rd,43.55076,-79.597673
0228,228.0,Indian Rd At Kane Rd,43.550785,-79.602662
0229,229.0,Indian Rd At Indian Grove,43.547266,-79.606444
0230,230.0,Indian Rd At Woodeden Dr,43.542453,-79.611989
0231,231.0,Indian Rd At Tecumseh Park Dr,43.541834,-79.613625
0232,232.0,Indian Rd At Caldwell Ave,43.540299,-79.617769
0233,233.0,Indian Rd At Birchview Dr,43.538695,-79.622113
0234,234.0,Indian Rd At Narva Rd,43.537395,-79.625621
0235,235.0,Indian Rd At Lorne Park Rd,43.536499,-79.628107
0236,236.0,Lorne Park Rd At Crescent Rd,43.535208,-79.627168
0237,237.0,Truscott Dr West Of Lorne Park Rd,43.532243,-79.625453
0238,238.0,Truscott Dr At Chasehurst Dr,43.531576,-79.627597
0239,239.0,Truscott Dr At Fairmile Dr,43.52758,-79.633826
0240,240.0,Truscott Dr At Clarkson Rd,43.52619,-79.635763
0241,241.0,Truscott Dr At Delaney Dr,43.524559,-79.63721
0242,242.0,Truscott Dr At Robillard Rd,43.522869,-79.638956
0243,243.0,Truscott Dr At Davebrook Rd,43.519976,-79.640209
0244,244.0,Southdown Rd At Wiseman Crt,43.516182,-79.636633
0245,245.0,Southdown Rd At Truscott Dr,43.518964,-79.640422
0246,246.0,Truscott Dr At Davebrook Rd,43.519687,-79.640166
0247,247.0,Truscott Dr At Robillard Rd,43.52241,-79.638986
0248,248.0,Truscott Dr At Delaney Dr,43.524521,-79.63705
0249,249.0,Truscott Dr At Clarkson Rd,43.525903,-79.635893
0250,250.0,Truscott Dr At Mazo Cres,43.527365,-79.63388
0251,251.0,Truscott Dr At Chasehurst Dr,43.531307,-79.627715
0252,252.0,Truscott Dr At Lorne Park Rd,43.532186,-79.62517
0253,253.0,Lorne Park Rd At Lindburgh Crt,43.533118,-79.624122
0254,254.0,Lorne Park Rd At Royal Oaks Rd,43.535114,-79.626799
0255,255.0,Lorne Park Rd At Indian Rd,43.536212,-79.628284
0256,256.0,Indian Rd At Narva Rd,43.537191,-79.625799
0257,257.0,Indian Rd At Birchview Dr,43.538611,-79.621917
0258,258.0,Indian Rd At Caldwell Ave,43.540154,-79.617711
0259,259.0,Indian Rd At Tecumseh Park Dr,43.541567,-79.613866
0260,260.0,Indian Rd At Woodeden Dr,43.54259,-79.611404
0261,261.0,Indian Rd At Indian Grove,43.5471,-79.606388
0262,262.0,Indian Rd At Kane Rd,43.5508,-79.602402
