route_id,route_short_name,route_long_name,direction_id,trips,first_departure_seconds,last_departure_seconds,first_arrival_seconds,last_arrival_seconds,departure_span_hours,full_service_span_hours,first_departure,last_departure,avg_headway_min,median_headway_min,p90_headway_min,max_headway_min,headway_observations
1,1,Dundas,0,86,7260,91680,9900,94500,23.45,24.233333333333334,02:01,25:28,16.55294117647059,15.0,20.0,30.0,85.0
1,1,Dundas,1,86,7200,91800,9780,94560,23.5,24.266666666666666,02:00,25:30,16.58823529411765,15.0,20.0,30.0,85.0
2,2,Hurontario,0,117,9000,94080,10140,95280,23.633333333333333,23.966666666666665,02:30,26:08,12.330434782608696,12.0,18.0,20.0,115.0
2,2,Hurontario,1,115,7200,92400,8160,93480,23.666666666666668,23.966666666666665,02:00,25:40,12.456140350877194,12.0,18.0,20.0,114.0
3,3,Bloor,0,90,7200,92100,8820,93840,23.583333333333332,24.066666666666666,02:00,25:35,15.898876404494382,15.0,30.0,30.0,89.0
3,3,Bloor,1,90,9600,94800,11580,96660,23.666666666666668,24.183333333333334,02:40,26:20,15.955056179775282,15.0,30.0,30.0,89.0
4,4,North Service Road,0,26,17400,81240,20400,84240,17.733333333333334,18.566666666666666,04:50,22:34,42.56,44.0,60.0,64.0,25.0
4,4,North Service Road,1,29,16140,84840,16980,87600,19.083333333333332,19.85,04:29,23:34,40.892857142857146,42.5,60.0,62.0,28.0
5,5,Dixie,0,71,14400,93360,16560,95100,21.933333333333334,22.416666666666668,04:00,25:56,18.8,15.0,32.2,40.0,70.0
5,5,Dixie,1,70,14100,91440,16980,94200,21.483333333333334,22.25,03:55,25:24,18.681159420289855,15.0,30.0,38.0,69.0
6,6,Credit Woodlands,0,48,18000,94680,19920,96360,21.3,21.766666666666666,05:00,26:18,27.19148936170213,28.0,34.8,36.0,47.0
6,6,Credit Woodlands,1,45,18300,93000,19320,94560,20.75,21.183333333333334,05:05,25:50,28.295454545454547,30.0,33.500000000000014,38.0,44.0
7,7,Airport,0,54,8760,92760,11820,95820,23.333333333333332,24.183333333333334,02:26,25:46,26.41509433962264,25.0,34.40000000000001,40.0,53.0
7,7,Airport,1,54,7500,91320,10440,94200,23.283333333333335,24.083333333333332,02:05,25:22,26.358490566037737,25.0,34.0,42.0,53.0
8,8,Cawthra,0,36,17760,85200,19800,87180,18.733333333333334,19.283333333333335,04:56,23:40,32.114285714285714,35.0,42.6,45.0,35.0
8,8,Cawthra,1,35,20100,85080,22200,86940,18.05,18.566666666666666,05:35,23:38,31.852941176470587,35.0,42.0,44.0,34.0
9,9,Rathburn,0,49,15180,92040,17400,94200,21.35,21.95,04:13,25:34,26.6875,27.0,30.300000000000004,46.0,48.0
9,9,Rathburn,1,49,18000,94500,20520,96720,21.25,21.866666666666667,05:00,26:15,26.5625,27.0,30.0,44.0,48.0
10,10,Bristol,0,50,17820,90480,21120,93180,20.183333333333334,20.933333333333334,04:57,25:08,24.714285714285715,25.0,31.0,35.0,49.0
10,10,Bristol,1,52,16680,90480,19800,93300,20.5,21.283333333333335,04:38,25:08,24.11764705882353,25.0,30.0,34.0,51.0
11,11,Westwood,0,85,18180,98580,19560,99840,22.333333333333332,22.683333333333334,05:03,27:23,15.952380952380953,15.0,23.0,30.0,84.0
11,11,Westwood,1,87,16020,96960,17400,98280,22.483333333333334,22.85,04:27,26:56,15.686046511627907,15.0,23.0,30.0,86.0
