efficiency_rank,route_id,route_short_name,route_long_name,final_efficiency_score,score_band,advocacy_priority_rank,advocacy_priority_score,scheduled_trips,directions,all_day_service_flag,avg_scheduled_speed_kmh,median_scheduled_speed_kmh,avg_duration_min,avg_shape_path_km,avg_directness_ratio,loop_or_circulator_flag,unique_stops,stops_per_km,first_departure,last_departure,full_service_span_hours,median_headway_min,p90_headway_min,directional_balance_ratio,speed_score,frequency_score,service_span_score,directness_score,stop_spacing_efficiency_score,directional_balance_score
1,11,11,Westwood,84.14,high,47,46.79,172,2,1,35.64,35.07,28.75,16.843,0.749,0,31,1.841,04:27,27:23,23.28,15.0,23.0,0.98,98.48484848484848,82.32121212121211,89.39393939393939,80.64516129032258,85.84848484848484,48.484848484848484
2,35,35,Eglinton,77.54,high,44,48.63,159,2,1,24.61,23.91,70.36,28.583,0.682,0,115,4.023,03:30,26:20,23.72,15.0,27.0,0.99,83.33333333333334,80.73030303030303,90.9090909090909,64.51612903225806,73.72727272727273,58.333333333333336
3,1,1,Dundas,74.65,high,26,52.48,172,2,1,21.84,20.1,60.17,21.377,0.836,0,127,5.941,02:00,25:30,24.27,15.0,20.0,1.0,59.09090909090909,82.32121212121211,94.6969696969697,90.32258064516128,34.33333333333334,81.06060606060606
4,109,109,Meadowvale Express,72.72,high,30,52.13,162,2,1,35.02,34.23,60.47,35.001,0.532,0,39,1.114,04:06,23:40,20.38,15.0,16.0,0.98,96.96969696969697,81.18484848484849,51.515151515151516,38.70967741935484,97.96969696969697,48.484848484848484
5,42,42,Derry,72.3,high,24,52.98,171,2,1,22.33,21.79,60.37,22.147,0.816,0,93,4.199,03:50,26:00,22.88,15.0,15.0,0.94,66.66666666666666,81.63939393939394,84.84848484848484,88.70967741935483,70.69696969696969,21.21212121212121
6,66,66,McLaughlin,71.17,high,12,56.69,202,2,1,20.97,20.33,33.36,11.482,0.902,0,61,5.313,04:32,25:18,21.18,12.0,17.0,0.98,50.0,96.1621212121212,62.121212121212125,98.38709677419355,57.06060606060606,48.484848484848484
7,110,110,University Express,71.15,high,46,47.61,118,2,1,31.64,30.65,37.47,19.179,0.468,0,18,0.939,04:05,25:26,21.62,21.0,26.0,1.0,93.93939393939394,63.09393939393938,70.45454545454545,21.774193548387096,99.48484848484848,81.06060606060606
8,61,61,Mavis,69.75,moderate,10,56.94,189,2,1,21.32,20.07,43.29,14.818,0.698,0,67,4.521,03:50,26:32,23.17,14.0,16.8,0.97,51.515151515151516,92.20757575757575,87.87878787878788,67.74193548387096,67.66666666666667,37.121212121212125
9,107,107,Malton Express,69.57,moderate,28,52.2,147,2,1,26.25,26.21,58.03,25.184,0.609,0,44,1.747,04:50,23:15,19.22,15.0,20.0,0.99,86.36363636363636,79.82121212121211,34.84848484848485,54.83870967741935,87.36363636363636,58.333333333333336
10,101,101,Dundas Express,68.9,moderate,35,50.78,137,2,1,21.46,21.49,59.3,21.088,0.849,0,33,1.565,04:31,23:26,19.88,15.0,19.6,0.99,53.03030303030303,78.45757575757575,45.45454545454545,93.54838709677419,93.42424242424242,58.333333333333336
