route_id,route_short_name,route_long_name,scheduled_trips_geometry,directions_geometry,unique_shapes,avg_shape_path_km,median_shape_path_km,max_shape_path_km,avg_straight_line_km,avg_directness_ratio,unique_stops,total_stop_visits,avg_stops_per_trip,stops_per_km,scheduled_trips_speed,directions_speed,avg_trip_distance_km,median_trip_distance_km,avg_duration_min,median_duration_min,p10_duration_min,p90_duration_min,avg_scheduled_speed_kmh,median_scheduled_speed_kmh,p10_scheduled_speed_kmh,p90_scheduled_speed_kmh,min_scheduled_speed_kmh,max_scheduled_speed_kmh,avg_stop_count,duration_spread_min,speed_spread_kmh,share_trips_under_15_kmh,scheduled_trips,directions,first_departure_seconds,last_departure_seconds,last_arrival_seconds,departure_span_hours,full_service_span_hours,avg_headway_min,median_headway_min,p90_headway_min,max_headway_min,headway_observations,min_direction_trips,max_direction_trips,directional_balance_ratio,first_departure,last_departure,trips_early_morning,trips_am_peak,trips_midday,trips_pm_peak,trips_evening,trips_late_night,trips_other,trips_unknown,median_headway_early_morning_min,median_headway_am_peak_min,median_headway_midday_min,median_headway_pm_peak_min,median_headway_evening_min,median_headway_late_night_min,all_day_service_flag,loop_or_circulator_flag,directness_ratio_for_scoring,speed_score,headway_score,trip_volume_score,frequency_score,service_span_score,directness_score,stop_spacing_efficiency_score,directional_balance_score,all_day_service_score,final_efficiency_score,efficiency_rank,score_band,service_importance_score,improvement_need_score,advocacy_priority_score,advocacy_priority_rank
11,11,Westwood,172.0,2.0,2.0,16.843,16.842,16.952,12.615,0.749,31,2754,16.012,1.841,172,2,16.84,16.95,28.75,29.0,25.0,33.0,35.64,35.07,30.82,40.68,27.89,47.81,16.01,8.0,9.86,0.0,172,2,16020,98580,99840,22.93,23.28,15.82,15.0,23.0,30.0,170.0,85,87,0.98,04:27,27:23,11,31,49,36,20,25,0,0,14.0,11.0,15.0,12.0,18.0,24.0,1,0,0.749,98.48484848484848,77.66666666666667,93.18181818181817,82.32121212121211,89.39393939393939,80.64516129032258,85.84848484848484,48.484848484848484,100,84.14,1,high,93.18181818181817,15.86,46.79,47
35,35,Eglinton,159.0,2.0,2.0,28.583,28.579,29.26,19.485,0.682,115,9302,58.503,4.023,159,2,28.58,29.26,70.36,71.0,61.0,80.0,24.61,23.91,21.67,28.33,20.67,33.12,58.5,19.0,6.65,0.0,159,2,12600,94800,97980,22.83,23.72,16.75,15.0,27.0,35.0,157.0,79,80,0.99,03:30,26:20,16,24,50,32,22,15,0,0,15.0,15.0,15.0,15.0,15.0,30.0,1,0,0.682,83.33333333333334,77.66666666666667,87.87878787878788,80.73030303030303,90.9090909090909,64.51612903225806,73.72727272727273,58.333333333333336,100,77.54,2,high,87.87878787878788,22.459999999999994,48.63,44
1,1,Dundas,172.0,2.0,3.0,21.377,21.442,23.001,17.858,0.836,127,11138,64.756,5.941,172,2,21.38,21.44,60.17,63.0,47.2,71.0,21.84,20.1,17.87,27.26,17.55,32.09,64.76,23.8,9.39,0.0,172,2,7200,91800,94560,23.5,24.27,16.57,15.0,20.0,30.0,170.0,86,86,1.0,02:00,25:30,22,24,48,32,24,22,0,0,22.5,15.0,15.0,15.0,15.0,20.0,1,0,0.836,59.09090909090909,77.66666666666667,93.18181818181817,82.32121212121211,94.6969696969697,90.32258064516128,34.33333333333334,81.06060606060606,100,74.65,3,high,93.18181818181817,25.349999999999994,52.48,26
109,109,Meadowvale Express,162.0,2.0,2.0,35.001,34.998,35.195,18.628,0.532,39,3240,20.0,1.114,162,2,35.0,35.2,60.47,61.0,53.0,68.0,35.02,34.23,31.05,39.8,30.6,43.1,20.0,15.0,8.74,0.0,162,2,14760,85200,88140,19.57,20.38,13.88,15.0,16.0,25.0,160.0,80,82,0.98,04:06,23:40,8,29,50,42,24,9,0,0,25.0,10.0,15.0,10.0,15.0,18.0,1,0,0.532,96.96969696969697,77.66666666666667,89.39393939393939,81.18484848484849,51.515151515151516,38.70967741935484,97.96969696969697,48.484848484848484,100,72.72,4,high,89.39393939393939,27.28,52.13,30
42,42,Derry,171.0,2.0,2.0,22.147,22.148,22.152,18.062,0.816,93,8027,46.942,4.199,171,2,22.15,22.14,60.37,61.0,49.0,69.0,22.33,21.79,19.25,27.11,18.21,30.9,46.94,20.0,7.86,0.0,171,2,13800,93600,96180,22.17,22.88,15.33,15.0,15.0,24.0,169.0,83,88,0.94,03:50,26:00,13,24,48,32,24,30,0,0,20.0,15.0,15.0,15.0,15.0,15.0,1,0,0.816,66.66666666666666,77.66666666666667,90.9090909090909,81.63939393939394,84.84848484848484,88.70967741935483,70.69696969696969,21.21212121212121,100,72.3,5,high,90.9090909090909,27.700000000000003,52.98,24
66,66,McLaughlin,202.0,2.0,2.0,11.482,11.483,11.518,10.36,0.902,61,6264,31.01,5.313,202,2,11.48,11.45,33.36,34.0,29.0,39.0,20.97,20.33,17.61,23.83,16.75,27.64,31.01,10.0,6.22,0.0,202,2,16320,91080,92580,20.77,21.18,12.2,12.0,17.0,20.0,200.0,100,102,0.98,04:32,25:18,13,32,63,45,26,23,0,0,11.0,11.0,12.0,11.0,14.0,17.0,1,0,0.902,50.0,95.16666666666667,98.48484848484848,96.1621212121212,62.121212121212125,98.38709677419355,57.06060606060606,48.484848484848484,100,71.17,6,high,98.48484848484848,28.83,56.69,12
110,110,University Express,118.0,2.0,4.0,19.179,15.247,21.966,8.755,0.468,18,1090,9.237,0.939,118,2,19.18,18.83,37.47,40.0,17.7,45.0,31.64,30.65,26.28,39.43,24.56,43.73,9.24,27.3,13.15,0.0,118,2,14700,91560,92520,21.35,21.62,21.78,21.0,26.0,40.0,116.0,59,59,1.0,04:05,25:26,14,18,34,21,15,16,0,0,17.5,21.0,21.0,22.0,21.0,24.0,1,0,0.468,93.93939393939394,57.666666666666664,75.75757575757575,63.09393939393938,70.45454545454545,21.774193548387096,99.48484848484848,81.06060606060606,100,71.15,7,high,75.75757575757575,28.849999999999994,47.61,46
61,61,Mavis,189.0,2.0,3.0,14.818,14.721,15.029,10.343,0.698,67,6500,34.392,4.521,189,2,14.82,14.72,43.29,44.0,32.0,54.0,21.32,20.07,16.66,27.06,16.06,33.97,34.39,22.0,10.4,0.0,189,2,13800,95520,97200,22.7,23.17,14.41,14.0,16.8,25.0,187.0,93,96,0.97,03:50,26:32,15,26,52,35,28,33,0,0,16.0,14.0,14.0,13.0,14.0,15.0,1,0,0.698,51.515151515151516,90.16666666666667,96.96969696969697,92.20757575757575,87.87878787878788,67.74193548387096,67.66666666666667,37.121212121212125,100,69.75,8,moderate,96.96969696969697,30.25,56.94,10
107,107,Malton Express,147.0,2.0,2.0,25.184,25.182,25.462,15.336,0.609,44,3381,23.0,1.747,147,2,25.18,25.46,58.03,58.0,51.6,65.0,26.25,26.21,23.2,29.38,22.3,31.83,23.0,13.4,6.18,0.0,147,2,17400,83700,86580,18.42,19.22,15.15,15.0,20.0,30.0,145.0,73,74,0.99,04:50,23:15,8,25,48,40,18,8,0,0,15.0,15.0,15.0,12.0,20.0,20.0,1,0,0.609,86.36363636363636,77.66666666666667,84.84848484848484,79.82121212121211,34.84848484848485,54.83870967741935,87.36363636363636,58.333333333333336,100,69.57,9,moderate,84.84848484848484,30.430000000000007,52.2,28
101,101,Dundas Express,137.0,2.0,2.0,21.088,21.091,21.405,17.901,0.849,33,2397,17.496,1.565,137,2,21.09,20.78,59.3,58.0,55.0,66.0,21.46,21.49,18.89,23.35,18.61,25.18,17.5,11.0,4.46,0.0,137,2,16260,84360,87840,18.92,19.88,16.48,15.0,19.6,30.0,135.0,68,69,0.99,04:31,23:26,9,24,48,30,19,7,0,0,15.0,15.0,15.0,15.0,18.0,25.0,1,0,0.849,53.03030303030303,77.66666666666667,80.3030303030303,78.45757575757575,45.45454545454545,93.54838709677419,93.42424242424242,58.333333333333336,100,68.9,10,moderate,80.3030303030303,31.099999999999994,50.78,35
135,135,Eglinton Express,54.0,2.0,2.0,28.277,28.277,28.525,17.428,0.616,35,972,18.0,1.238,54,2,28.28,28.28,62.0,62.0,60.0,64.0,27.39,27.39,26.74,28.03,26.74,28.03,18.0,4.0,1.29,0.0,54,2,21000,64800,68640,12.17,13.23,15.0,15.0,15.0,15.0,50.0,27,27,1.0,05:50,18:00,1,24,5,24,0,0,0,0,,15.0,15.0,15.0,,,0,0,0.616,89.39393939393939,77.66666666666667,35.60606060606061,65.04848484848485,21.21212121212121,58.06451612903226,96.45454545454545,81.06060606060606,0,68.25,11,moderate,35.60606060606061,31.75,33.29,63
