route_id,route_short_name,route_long_name,scheduled_trips,directions,first_departure_seconds,last_departure_seconds,last_arrival_seconds,departure_span_hours,full_service_span_hours,avg_headway_min,median_headway_min,p90_headway_min,max_headway_min,headway_observations,min_direction_trips,max_direction_trips,directional_balance_ratio,first_departure,last_departure,trips_early_morning,trips_am_peak,trips_midday,trips_pm_peak,trips_evening,trips_late_night,trips_other,trips_unknown,median_headway_early_morning_min,median_headway_am_peak_min,median_headway_midday_min,median_headway_pm_peak_min,median_headway_evening_min,median_headway_late_night_min,all_day_service_flag
2,2,Hurontario,232,2,7200,94080,95280,24.13,24.47,12.39,12.0,18.0,20.0,229.0,115,117,0.98,02:00,26:08,27,34,65,50,30,26,0,0,18.0,12.0,12.0,10.0,12.0,19.0,1
66,66,McLaughlin,202,2,16320,91080,92580,20.77,21.18,12.2,12.0,17.0,20.0,200.0,100,102,0.98,04:32,25:18,13,32,63,45,26,23,0,0,11.0,11.0,12.0,11.0,14.0,17.0,1
57,57,Courtneypark,116,2,14400,72480,75240,16.13,16.9,15.9,13.0,26.0,26.0,114.0,57,59,0.97,04:00,20:08,13,29,36,33,5,0,0,0,13.0,12.0,24.0,13.0,20.0,,1
61,61,Mavis,189,2,13800,95520,97200,22.7,23.17,14.41,14.0,16.8,25.0,187.0,93,96,0.97,03:50,26:32,15,26,52,35,28,33,0,0,16.0,14.0,14.0,13.0,14.0,15.0,1
51,51,Tomken,129,2,15960,93240,95580,21.47,22.12,20.18,14.0,41.0,52.0,126.0,64,65,0.98,04:26,25:54,12,26,35,35,11,10,0,0,15.5,14.0,25.0,13.0,26.0,48.0,1
3,3,Bloor,180,2,7200,94800,96660,24.33,24.85,15.93,15.0,30.0,30.0,178.0,90,90,1.0,02:00,26:20,22,31,52,39,19,17,0,0,20.0,10.0,14.0,12.0,20.0,30.0,1
1,1,Dundas,172,2,7200,91800,94560,23.5,24.27,16.57,15.0,20.0,30.0,170.0,86,86,1.0,02:00,25:30,22,24,48,32,24,22,0,0,22.5,15.0,15.0,15.0,15.0,20.0,1
11,11,Westwood,172,2,16020,98580,99840,22.93,23.28,15.82,15.0,23.0,30.0,170.0,85,87,0.98,04:27,27:23,11,31,49,36,20,25,0,0,14.0,11.0,15.0,12.0,18.0,24.0,1
42,42,Derry,171,2,13800,93600,96180,22.17,22.88,15.33,15.0,15.0,24.0,169.0,83,88,0.94,03:50,26:00,13,24,48,32,24,30,0,0,20.0,15.0,15.0,15.0,15.0,15.0,1
109,109,Meadowvale Express,162,2,14760,85200,88140,19.57,20.38,13.88,15.0,16.0,25.0,160.0,80,82,0.98,04:06,23:40,8,29,50,42,24,9,0,0,25.0,10.0,15.0,10.0,15.0,18.0,1
35,35,Eglinton,159,2,12600,94800,97980,22.83,23.72,16.75,15.0,27.0,35.0,157.0,79,80,0.99,03:30,26:20,16,24,50,32,22,15,0,0,15.0,15.0,15.0,15.0,15.0,30.0,1
26,26,Burnhamthorpe,156,2,13980,96660,99420,22.97,23.73,17.44,15.0,26.0,34.0,154.0,75,81,0.93,03:53,26:51,14,25,50,32,17,18,0,0,19.0,14.0,15.0,14.5,24.0,30.0,1
107,107,Malton Express,147,2,17400,83700,86580,18.42,19.22,15.15,15.0,20.0,30.0,145.0,73,74,0.99,04:50,23:15,8,25,48,40,18,8,0,0,15.0,15.0,15.0,12.0,20.0,20.0,1
5,5,Dixie,141,2,14100,93360,95100,22.02,22.5,18.74,15.0,30.4,40.0,139.0,70,71,0.99,03:55,25:56,12,24,49,30,13,13,0,0,23.5,15.0,15.0,15.0,25.0,38.0,1
101,101,Dundas Express,137,2,16260,84360,87840,18.92,19.88,16.48,15.0,19.6,30.0,135.0,68,69,0.99,04:31,23:26,9,24,48,30,19,7,0,0,15.0,15.0,15.0,15.0,18.0,25.0,1
18,18,Derry,90,2,17100,70680,73260,14.88,15.6,19.15,15.0,15.0,208.0,88.0,45,45,1.0,04:45,19:38,8,24,23,32,3,0,0,0,14.0,15.0,15.0,15.0,15.0,,1
28,28,Confederation,129,2,17700,87600,88500,19.42,19.67,18.19,19.0,22.4,28.0,127.0,64,65,0.98,04:55,24:20,9,25,38,27,18,12,0,0,15.0,15.0,20.0,18.0,20.0,24.0,1
17,17,Hurontario,146,2,6780,93000,94140,23.95,24.27,19.59,20.0,30.0,30.0,144.0,72,74,0.97,01:53,25:50,17,18,36,33,25,17,0,0,28.0,20.0,21.0,15.0,15.0,30.0,1
45,45,Winston Churchill,103,2,16200,86400,88680,19.5,20.13,22.42,20.0,32.0,39.0,101.0,51,52,0.98,04:30,24:00,7,19,27,28,14,8,0,0,30.0,20.0,30.0,18.0,22.0,30.0,1
126,126,Burnhamthorpe Express,49,2,24600,69000,71820,12.33,13.12,20.44,20.0,22.0,22.0,45.0,24,25,0.96,06:50,19:10,0,14,10,24,1,0,0,0,,20.0,20.0,20.0,20.0,,1
110,110,University Express,118,2,14700,91560,92520,21.35,21.62,21.78,21.0,26.0,40.0,116.0,59,59,1.0,04:05,25:26,14,18,34,21,15,16,0,0,17.5,21.0,21.0,22.0,21.0,24.0,1
39,39,Britannia,96,2,16380,90840,94500,20.68,21.7,26.02,22.0,38.0,42.0,94.0,47,49,0.96,04:33,25:14,10,17,23,24,11,11,0,0,17.0,20.0,35.0,21.0,33.0,38.0,1
53,53,Kennedy,83,2,17940,87720,89700,19.38,19.93,27.91,22.0,44.0,50.0,81.0,41,42,0.98,04:59,24:22,6,16,24,23,7,7,0,0,18.5,22.0,34.0,20.0,48.0,44.0,1
20,20,Rathburn,104,2,16740,91260,92940,20.7,21.17,23.96,23.5,37.8,40.0,102.0,51,53,0.96,04:39,25:21,8,17,33,22,13,11,0,0,20.0,24.0,24.0,22.0,18.0,38.0,1
103,103,Hurontario Express,104,2,15000,89820,91800,20.78,21.33,24.15,24.0,31.8,55.0,102.0,52,52,1.0,04:10,24:57,9,21,26,26,13,9,0,0,25.0,15.0,28.0,16.0,28.0,42.0,1
13,13,Glen Erin,102,2,15900,96420,98700,22.37,23.0,26.28,24.0,31.8,52.0,100.0,50,52,0.96,04:25,26:47,9,17,30,20,14,12,0,0,24.0,26.0,25.0,24.0,26.0,50.0,1
