route_id,route_short_name,route_long_name,scheduled_trips,directions,unique_shapes,avg_shape_path_km,median_shape_path_km,max_shape_path_km,avg_straight_line_km,avg_directness_ratio,unique_stops,total_stop_visits,avg_stops_per_trip,stops_per_km
25,25,Traders Loop,21.0,1.0,1.0,7.689,7.689,7.689,0.0,0.0,25,546,26.0,3.251
90,90,Terragar-Copenhagen Loop,63.0,2.0,4.0,7.316,7.292,7.853,0.02,0.003,63,1471,23.349,8.611
16,16,Malton,50.0,2.0,3.0,10.324,10.547,10.674,0.033,0.003,71,2116,42.32,6.877
304,304,Father Goetz SS,1.0,1.0,1.0,6.392,6.392,6.392,0.941,0.147,23,23,23.0,3.598
36,36,Ridgeway,66.0,2.0,2.0,12.262,12.262,12.987,2.235,0.183,75,2541,38.5,6.116
314,314,Rick Hansen SS,2.0,2.0,2.0,5.693,5.693,5.831,1.282,0.226,30,30,15.0,5.27
4,4,North Service Road,55.0,2.0,5.0,17.469,16.239,18.259,5.969,0.34,103,2586,47.018,5.896
29,29,Park Royal,68.0,2.0,3.0,14.709,13.437,16.789,5.18,0.36,96,3246,47.735,6.527
6,6,Credit Woodlands,93.0,2.0,3.0,11.176,10.302,12.087,4.154,0.373,85,3996,42.968,7.605
302,302,Philip Pocock SS,2.0,1.0,1.0,9.599,9.599,9.599,3.692,0.385,33,66,33.0,3.438
31,31,Ogden,100.0,2.0,2.0,7.963,7.963,7.978,3.334,0.419,45,2350,23.5,5.651
38,38,Creditview,77.0,2.0,4.0,25.376,23.07,25.781,10.662,0.423,147,5807,75.416,5.793
313,313,Streetsville SS,3.0,2.0,2.0,7.645,7.722,7.952,3.357,0.44,53,81,27.0,6.932
10,10,Bristol,102.0,2.0,3.0,20.427,20.444,20.595,9.056,0.443,142,7262,71.196,6.952
70,70,Keaton,28.0,2.0,2.0,24.47,24.492,24.799,10.951,0.448,40,840,30.0,1.635
321,321,Stephen Lewis SS,5.0,2.0,3.0,5.733,6.393,6.393,2.549,0.455,30,80,16.0,5.233
73,73,Kamato,34.0,2.0,2.0,5.497,5.497,6.625,2.462,0.468,33,578,17.0,6.003
