route_id,route_short_name,route_long_name,service_period,avg_headway_min,median_headway_min,p90_headway_min,headway_observations
1,1,Dundas,early morning,22.5,22.5,30.0,20
1,1,Dundas,AM peak,15.0,15.0,15.0,24
1,1,Dundas,midday,15.0,15.0,15.0,48
1,1,Dundas,PM peak,15.25,15.0,16.0,32
1,1,Dundas,evening,15.416666666666666,15.0,16.0,24
1,1,Dundas,late night,19.5,20.0,20.0,22
1,1,Dundas,other,,,,0
1,1,Dundas,unknown,,,,0
2,2,Hurontario,early morning,17.44,18.0,20.0,25
2,2,Hurontario,AM peak,10.647058823529411,12.0,12.0,34
2,2,Hurontario,midday,11.21875,12.0,12.0,64
2,2,Hurontario,PM peak,9.72,10.0,10.0,50
2,2,Hurontario,evening,11.6,12.0,14.0,30
2,2,Hurontario,late night,18.76923076923077,19.0,20.0,26
2,2,Hurontario,other,,,,0
2,2,Hurontario,unknown,,,,0
3,3,Bloor,early morning,21.65,20.0,30.0,20
3,3,Bloor,AM peak,11.483870967741936,10.0,15.0,31
3,3,Bloor,midday,13.673076923076923,14.0,15.0,52
3,3,Bloor,PM peak,12.41025641025641,12.0,15.0,39
3,3,Bloor,evening,18.210526315789473,20.0,20.0,19
3,3,Bloor,late night,29.705882352941178,30.0,30.0,17
3,3,Bloor,other,,,,0
3,3,Bloor,unknown,,,,0
4,4,North Service Road,early morning,32.75,39.0,43.1,4
4,4,North Service Road,AM peak,38.22222222222222,42.0,44.4,9
4,4,North Service Road,midday,41.22222222222222,45.0,46.0,18
4,4,North Service Road,PM peak,35.84615384615385,36.0,38.0,13
4,4,North Service Road,evening,57.666666666666664,62.0,64.0,6
4,4,North Service Road,late night,60.0,60.0,60.0,3
4,4,North Service Road,other,,,,0
4,4,North Service Road,unknown,,,,0
5,5,Dixie,early morning,22.4,23.5,26.4,10
5,5,Dixie,AM peak,15.041666666666666,15.0,15.0,24
5,5,Dixie,midday,14.795918367346939,15.0,15.0,49
5,5,Dixie,PM peak,16.0,15.0,20.0,30
5,5,Dixie,evening,25.53846153846154,25.0,30.0,13
5,5,Dixie,late night,37.15384615384615,38.0,39.6,13
5,5,Dixie,other,,,,0
5,5,Dixie,unknown,,,,0
6,6,Credit Woodlands,early morning,23.0,27.0,28.0,4
6,6,Credit Woodlands,AM peak,27.384615384615383,30.0,30.0,13
6,6,Credit Woodlands,midday,27.692307692307693,30.0,30.0,26
6,6,Credit Woodlands,PM peak,24.8,26.0,26.200000000000003,20
6,6,Credit Woodlands,evening,27.846153846153847,28.0,30.0,13
6,6,Credit Woodlands,late night,33.13333333333333,36.0,38.0,15
6,6,Credit Woodlands,other,,,,0
6,6,Credit Woodlands,unknown,,,,0
7,7,Airport,early morning,28.666666666666668,23.0,40.0,15
7,7,Airport,AM peak,23.2,24.0,26.0,15
7,7,Airport,midday,24.93103448275862,25.0,30.0,29
7,7,Airport,PM peak,25.42105263157895,26.0,26.0,19
7,7,Airport,evening,25.785714285714285,25.0,31.60000000000001,14
7,7,Airport,late night,32.285714285714285,34.0,35.0,14
7,7,Airport,other,,,,0
7,7,Airport,unknown,,,,0
8,8,Cawthra,early morning,29.0,29.0,29.0,2
8,8,Cawthra,AM peak,26.307692307692307,31.0,36.6,13
8,8,Cawthra,midday,28.23076923076923,35.0,38.0,26
8,8,Cawthra,PM peak,36.61538461538461,39.0,43.0,13
8,8,Cawthra,evening,38.22222222222222,40.0,44.2,9
8,8,Cawthra,late night,42.166666666666664,42.0,42.5,6
8,8,Cawthra,other,,,,0
8,8,Cawthra,unknown,,,,0
9,9,Rathburn,early morning,21.285714285714285,20.0,23.6,7
9,9,Rathburn,AM peak,22.866666666666667,22.0,27.0,15
9,9,Rathburn,midday,26.74074074074074,28.0,30.0,27
9,9,Rathburn,PM peak,26.22222222222222,26.5,30.0,18
9,9,Rathburn,evening,28.076923076923077,27.0,32.0,13
9,9,Rathburn,late night,31.5625,27.0,45.0,16
9,9,Rathburn,other,,,,0
9,9,Rathburn,unknown,,,,0
10,10,Bristol,early morning,21.0,21.0,22.0,5
10,10,Bristol,AM peak,23.0,25.0,26.0,17
10,10,Bristol,midday,23.466666666666665,25.0,26.0,30
10,10,Bristol,PM peak,23.238095238095237,22.0,27.0,21
10,10,Bristol,evening,24.53846153846154,23.0,33.2,13
10,10,Bristol,late night,31.0,31.0,34.0,14
10,10,Bristol,other,,,,0
10,10,Bristol,unknown,,,,0
11,11,Westwood,early morning,15.555555555555555,14.0,17.200000000000003,9
11,11,Westwood,AM peak,11.516129032258064,11.0,15.0,31
11,11,Westwood,midday,14.83673469387755,15.0,15.0,49
11,11,Westwood,PM peak,12.61111111111111,12.0,15.0,36
11,11,Westwood,evening,18.4,18.0,19.0,20
11,11,Westwood,late night,25.72,24.0,30.0,25
11,11,Westwood,other,,,,0
11,11,Westwood,unknown,,,,0
13,13,Glen Erin,early morning,22.285714285714285,24.0,24.0,7
13,13,Glen Erin,AM peak,21.647058823529413,26.0,28.0,17
13,13,Glen Erin,midday,23.466666666666665,25.0,28.0,30
13,13,Glen Erin,PM peak,24.1,24.0,26.0,20
13,13,Glen Erin,evening,25.714285714285715,26.0,30.0,14
13,13,Glen Erin,late night,46.5,50.0,52.0,12
13,13,Glen Erin,other,,,,0
13,13,Glen Erin,unknown,,,,0
14,14,Lorne Park,early morning,35.5,36.5,37.7,4
14,14,Lorne Park,AM peak,31.6,32.5,42.599999999999994,10
14,14,Lorne Park,midday,46.4375,57.0,58.0,16
14,14,Lorne Park,PM peak,41.0,40.0,45.0,11
14,14,Lorne Park,evening,53.857142857142854,53.0,55.2,7
14,14,Lorne Park,late night,53.0,53.0,53.0,4
14,14,Lorne Park,other,,,,0
14,14,Lorne Park,unknown,,,,0
15,15,Drew,early morning,17.75,20.0,21.4,4
15,15,Drew,AM peak,33.27272727272727,34.0,35.0,11
15,15,Drew,midday,59.583333333333336,30.0,167.10000000000005,12
15,15,Drew,PM peak,31.733333333333334,32.0,34.6,15
15,15,Drew,evening,30.166666666666668,26.0,40.0,12
15,15,Drew,late night,34.888888888888886,35.0,40.0,9
15,15,Drew,other,,,,0
15,15,Drew,unknown,,,,0
16,16,Malton,early morning,30.0,30.0,30.0,2
16,16,Malton,AM peak,39.875,41.0,44.0,8
16,16,Malton,midday,41.64705882352941,40.0,44.0,17
16,16,Malton,PM peak,43.45454545454545,44.0,44.0,11
16,16,Malton,evening,40.0,40.0,40.0,7
16,16,Malton,late night,40.0,40.0,40.0,3
16,16,Malton,other,,,,0
