route_id,route_short_name,route_long_name,service_period,trips
1,1,Dundas,early morning,22
1,1,Dundas,AM peak,24
1,1,Dundas,midday,48
1,1,Dundas,PM peak,32
1,1,Dundas,evening,24
1,1,Dundas,late night,22
1,1,Dundas,other,0
1,1,Dundas,unknown,0
2,2,Hurontario,early morning,27
2,2,Hurontario,AM peak,34
2,2,Hurontario,midday,65
2,2,Hurontario,PM peak,50
2,2,Hurontario,evening,30
2,2,Hurontario,late night,26
2,2,Hurontario,other,0
2,2,Hurontario,unknown,0
3,3,Bloor,early morning,22
3,3,Bloor,AM peak,31
3,3,Bloor,midday,52
3,3,Bloor,PM peak,39
3,3,Bloor,evening,19
3,3,Bloor,late night,17
3,3,Bloor,other,0
3,3,Bloor,unknown,0
4,4,North Service Road,early morning,6
4,4,North Service Road,AM peak,9
4,4,North Service Road,midday,18
4,4,North Service Road,PM peak,13
4,4,North Service Road,evening,6
4,4,North Service Road,late night,3
4,4,North Service Road,other,0
4,4,North Service Road,unknown,0
5,5,Dixie,early morning,12
5,5,Dixie,AM peak,24
5,5,Dixie,midday,49
5,5,Dixie,PM peak,30
5,5,Dixie,evening,13
5,5,Dixie,late night,13
5,5,Dixie,other,0
5,5,Dixie,unknown,0
6,6,Credit Woodlands,early morning,6
6,6,Credit Woodlands,AM peak,13
6,6,Credit Woodlands,midday,26
6,6,Credit Woodlands,PM peak,20
6,6,Credit Woodlands,evening,13
6,6,Credit Woodlands,late night,15
6,6,Credit Woodlands,other,0
6,6,Credit Woodlands,unknown,0
7,7,Airport,early morning,17
7,7,Airport,AM peak,15
7,7,Airport,midday,29
7,7,Airport,PM peak,19
7,7,Airport,evening,14
7,7,Airport,late night,14
7,7,Airport,other,0
7,7,Airport,unknown,0
8,8,Cawthra,early morning,4
8,8,Cawthra,AM peak,13
8,8,Cawthra,midday,26
8,8,Cawthra,PM peak,13
8,8,Cawthra,evening,9
8,8,Cawthra,late night,6
8,8,Cawthra,other,0
8,8,Cawthra,unknown,0
9,9,Rathburn,early morning,9
9,9,Rathburn,AM peak,15
9,9,Rathburn,midday,27
9,9,Rathburn,PM peak,18
9,9,Rathburn,evening,13
9,9,Rathburn,late night,16
9,9,Rathburn,other,0
9,9,Rathburn,unknown,0
10,10,Bristol,early morning,7
10,10,Bristol,AM peak,17
10,10,Bristol,midday,30
10,10,Bristol,PM peak,21
10,10,Bristol,evening,13
10,10,Bristol,late night,14
10,10,Bristol,other,0
10,10,Bristol,unknown,0
11,11,Westwood,early morning,11
11,11,Westwood,AM peak,31
11,11,Westwood,midday,49
11,11,Westwood,PM peak,36
11,11,Westwood,evening,20
11,11,Westwood,late night,25
11,11,Westwood,other,0
11,11,Westwood,unknown,0
13,13,Glen Erin,early morning,9
13,13,Glen Erin,AM peak,17
13,13,Glen Erin,midday,30
13,13,Glen Erin,PM peak,20
13,13,Glen Erin,evening,14
13,13,Glen Erin,late night,12
13,13,Glen Erin,other,0
13,13,Glen Erin,unknown,0
14,14,Lorne Park,early morning,6
14,14,Lorne Park,AM peak,10
14,14,Lorne Park,midday,16
14,14,Lorne Park,PM peak,11
14,14,Lorne Park,evening,7
14,14,Lorne Park,late night,4
14,14,Lorne Park,other,0
14,14,Lorne Park,unknown,0
15,15,Drew,early morning,6
15,15,Drew,AM peak,11
15,15,Drew,midday,12
15,15,Drew,PM peak,15
15,15,Drew,evening,12
15,15,Drew,late night,9
15,15,Drew,other,0
15,15,Drew,unknown,0
16,16,Malton,early morning,3
16,16,Malton,AM peak,9
16,16,Malton,midday,17
16,16,Malton,PM peak,11
16,16,Malton,evening,7
16,16,Malton,late night,3
16,16,Malton,other,0
16,16,Malton,unknown,0
17,17,Hurontario,early morning,17
17,17,Hurontario,AM peak,18
17,17,Hurontario,midday,36
17,17,Hurontario,PM peak,33
17,17,Hurontario,evening,25
17,17,Hurontario,late night,17
17,17,Hurontario,other,0
17,17,Hurontario,unknown,0
18,18,Derry,early morning,8
18,18,Derry,AM peak,24
18,18,Derry,midday,23
18,18,Derry,PM peak,32
18,18,Derry,evening,3
18,18,Derry,late night,0
18,18,Derry,other,0
18,18,Derry,unknown,0
20,20,Rathburn,early morning,8
20,20,Rathburn,AM peak,17
20,20,Rathburn,midday,33
20,20,Rathburn,PM peak,22
20,20,Rathburn,evening,13
20,20,Rathburn,late night,11
20,20,Rathburn,other,0
20,20,Rathburn,unknown,0
22,22,Finch,early morning,6
22,22,Finch,AM peak,15
22,22,Finch,midday,29
22,22,Finch,PM peak,18
22,22,Finch,evening,10
22,22,Finch,late night,10
22,22,Finch,other,0
22,22,Finch,unknown,0
23,23,Lakeshore,early morning,8
23,23,Lakeshore,AM peak,16
23,23,Lakeshore,midday,29
23,23,Lakeshore,PM peak,17
23,23,Lakeshore,evening,12
23,23,Lakeshore,late night,14
23,23,Lakeshore,other,0
23,23,Lakeshore,unknown,0
24,24,Northwest,early morning,4
24,24,Northwest,AM peak,10
24,24,Northwest,midday,10
24,24,Northwest,PM peak,12
24,24,Northwest,evening,0
24,24,Northwest,late night,0
24,24,Northwest,other,0
24,24,Northwest,unknown,0
25,25,Traders Loop,early morning,0
25,25,Traders Loop,AM peak,8
25,25,Traders Loop,midday,5
25,25,Traders Loop,PM peak,8
25,25,Traders Loop,evening,0
25,25,Traders Loop,late night,0
25,25,Traders Loop,other,0
25,25,Traders Loop,unknown,0
26,26,Burnhamthorpe,early morning,14
26,26,Burnhamthorpe,AM peak,25
26,26,Burnhamthorpe,midday,50
26,26,Burnhamthorpe,PM peak,32
26,26,Burnhamthorpe,evening,17
26,26,Burnhamthorpe,late night,18
26,26,Burnhamthorpe,other,0
26,26,Burnhamthorpe,unknown,0
28,28,Confederation,early morning,9
28,28,Confederation,AM peak,25
28,28,Confederation,midday,38
28,28,Confederation,PM peak,27
28,28,Confederation,evening,18
28,28,Confederation,late night,12
28,28,Confederation,other,0
28,28,Confederation,unknown,0
29,29,Park Royal,early morning,8
29,29,Park Royal,AM peak,11
29,29,Park Royal,midday,20
29,29,Park Royal,PM peak,12
29,29,Park Royal,evening,9
29,29,Park Royal,late night,8
29,29,Park Royal,other,0
29,29,Park Royal,unknown,0
30,30,Rexdale,early morning,4
30,30,Rexdale,AM peak,11
30,30,Rexdale,midday,12
30,30,Rexdale,PM peak,8
30,30,Rexdale,evening,8
30,30,Rexdale,late night,5
30,30,Rexdale,other,0
30,30,Rexdale,unknown,0
31,31,Ogden,early morning,9
31,31,Ogden,AM peak,15
31,31,Ogden,midday,24
31,31,Ogden,PM peak,24
31,31,Ogden,evening,12
31,31,Ogden,late night,16
31,31,Ogden,other,0
31,31,Ogden,unknown,0
35,35,Eglinton,early morning,16
35,35,Eglinton,AM peak,24
35,35,Eglinton,midday,50
35,35,Eglinton,PM peak,32
35,35,Eglinton,evening,22
35,35,Eglinton,late night,15
35,35,Eglinton,other,0
35,35,Eglinton,unknown,0
36,36,Ridgeway,early morning,2
36,36,Ridgeway,AM peak,9
36,36,Ridgeway,midday,19
36,36,Ridgeway,PM peak,13
36,36,Ridgeway,evening,8
36,36,Ridgeway,late night,15
36,36,Ridgeway,other,0
36,36,Ridgeway,unknown,0
38,38,Creditview,early morning,7
38,38,Creditview,AM peak,13
38,38,Creditview,midday,23
38,38,Creditview,PM peak,16
38,38,Creditview,evening,10
38,38,Creditview,late night,8
38,38,Creditview,other,0
38,38,Creditview,unknown,0
39,39,Britannia,early morning,10
39,39,Britannia,AM peak,17
39,39,Britannia,midday,23
39,39,Britannia,PM peak,24
39,39,Britannia,evening,11
39,39,Britannia,late night,11
39,39,Britannia,other,0
39,39,Britannia,unknown,0
42,42,Derry,early morning,13
42,42,Derry,AM peak,24
42,42,Derry,midday,48
42,42,Derry,PM peak,32
42,42,Derry,evening,24
42,42,Derry,late night,30
42,42,Derry,other,0
42,42,Derry,unknown,0
43,43,Matheson,early morning,2
43,43,Matheson,AM peak,5
43,43,Matheson,midday,3
43,43,Matheson,PM peak,6
43,43,Matheson,evening,2
43,43,Matheson,late night,0
43,43,Matheson,other,0
43,43,Matheson,unknown,0
44,44,Mississauga Road,early morning,6
44,44,Mississauga Road,AM peak,17
44,44,Mississauga Road,midday,32
44,44,Mississauga Road,PM peak,24
44,44,Mississauga Road,evening,13
44,44,Mississauga Road,late night,10
44,44,Mississauga Road,other,0
44,44,Mississauga Road,unknown,0
45,45,Winston Churchill,early morning,7
45,45,Winston Churchill,AM peak,19
45,45,Winston Churchill,midday,27
45,45,Winston Churchill,PM peak,28
45,45,Winston Churchill,evening,14
45,45,Winston Churchill,late night,8
45,45,Winston Churchill,other,0
