route_id,route_short_name,route_long_name,scheduled_trips,directions,avg_trip_distance_km,median_trip_distance_km,avg_duration_min,median_duration_min,p10_duration_min,p90_duration_min,avg_scheduled_speed_kmh,median_scheduled_speed_kmh,p10_scheduled_speed_kmh,p90_scheduled_speed_kmh,min_scheduled_speed_kmh,max_scheduled_speed_kmh,avg_stop_count,duration_spread_min,speed_spread_kmh,share_trips_under_15_kmh
315,315,Rick Hansen SS,3,2,5.82,5.62,23.33,23.0,23.0,23.8,14.95,14.66,14.66,15.35,14.66,15.52,14.33,0.8,0.69,0.67
321,321,Stephen Lewis SS,5,2,5.73,6.39,23.0,25.0,19.0,26.0,14.96,14.98,14.75,15.2,14.75,15.34,16.0,7.0,0.44,0.8
302,302,Philip Pocock SS,2,1,9.6,9.6,38.0,38.0,38.0,38.0,15.16,15.16,15.16,15.16,15.16,15.16,33.0,0.0,0.0,0.0
2,2,Hurontario,232,2,8.31,8.23,32.47,33.5,21.1,40.9,16.33,14.9,12.04,23.45,10.97,31.52,28.47,19.8,11.41,0.51
304,304,Father Goetz SS,1,1,6.39,6.39,22.0,22.0,22.0,22.0,17.43,17.43,17.43,17.43,17.43,17.43,23.0,0.0,0.0,0.0
312,312,Glenforest SS,2,2,7.36,7.36,25.0,25.0,25.0,25.0,17.66,17.66,17.57,17.75,17.55,17.77,23.5,0.0,0.18,0.0
28,28,Confederation,129,2,6.98,6.98,24.38,24.0,18.0,32.0,17.67,16.62,14.97,22.49,13.83,25.49,26.34,14.0,7.52,0.12
103,103,Hurontario Express,104,2,14.9,14.9,51.65,54.0,39.0,62.0,17.8,16.64,14.39,22.98,13.9,27.24,18.0,23.0,8.58,0.17
5,5,Dixie,141,2,16.9,16.01,58.26,58.0,46.0,69.0,17.81,16.95,15.47,21.36,14.63,33.12,45.96,23.0,5.88,0.04
6,6,Credit Woodlands,93,2,11.18,12.09,37.12,37.0,29.0,45.0,18.39,17.66,15.85,21.85,15.11,25.9,42.97,16.0,6.0,0.0
8,8,Cawthra,71,2,13.45,13.46,44.75,45.0,34.0,56.0,18.6,17.83,14.14,23.75,12.56,26.04,45.13,22.0,9.61,0.14
22,22,Finch,88,2,5.54,5.54,18.3,18.0,14.0,23.0,18.72,18.28,15.1,22.7,14.47,26.48,16.0,9.0,7.59,0.09
307,307,Philip Pocock SS,2,2,10.03,10.03,32.0,32.0,32.0,32.0,18.82,18.82,18.75,18.88,18.73,18.9,33.5,0.0,0.13,0.0
